Scrip Code,Scrip ID,Scrip Name,Status,Group,Face Value,ISIN No,Industry
542012,AAL,A-1 Acid Ltd,Active,M,10.00,INE911Z01017,Comm.Trading  & Distribution
542580,AARTECH,Aartech Solonics Ltd,Active,M,10.00,INE01C001018,Heavy Electrical Equipment
539570,ACEWIN,Acewin Agriteck Ltd,Active,M,10.00,INE742R01013,Other Food Products
536737,ACFSL,Amrapali Capital and Finance Services Ltd,Active,M,10.00,INE218P01018,Finance (including NBFCs)
540146,ACML,Aditya Consumer Marketing Ltd,Active,M,10.00,INE427V01013,Distributors
541144,ACTIVE,Active Clothing Co Ltd,Active,M,10.00,INE380Z01015,Other Apparels & Accessories
543309,ADESHWAR,Adeshwar Meditex Ltd,Active,MT,10.00,INE0H8J01015,Healthcare Supplies
780018,ADHIRAJ (ITP),Adhiraj Distributors Ltd (ITP),Active,IP,10.00,INE067R01015,-
543230,ADVAIT,Advait Infratech Ltd,Active,M,10.00,INE0ALI01010,Other Elect.Equip./ Prod.
541152,ADVITIYA,Advitiya Trade India Ltd,Active,M,10.00,INE705X01018,Comm.Trading  & Distribution
541402,AFFORDABLE,Affordable Robotic & Automation Ltd,Active,M,10.00,INE692Z01013,Industrial Machinery
542579,AGOL,Ashapuri Gold Ornament Ltd,Active,M,10.00,INE05FR01011,Other Apparels & Accessories
537492,AGRIMONY,Agrimony Commodities Ltd,Active,M,10.00,INE567P01018,Comm.Trading  & Distribution
542020,AKI,AKI India Ltd,Active,M,10.00,INE642Z01018,Other Apparels & Accessories
540718,AKM,AKM Lace and Embrotex Ltd,Active,M,10.00,INE777X01017,Textiles
541303,AKSHAR,Akshar Spintex Ltd,Active,M,10.00,INE256Z01017,Textiles
535916,ALSL,Alacrity Securities Ltd,Active,M,10.00,INE030P01017,Other Financial Services
540923,AML,Ashoka Metcast Ltd,Active,M,10.00,INE760Y01011,Construction & Engineering
539265,AMRAFIN,Amrapali Fincap Ltd,Active,M,10.00,INE990S01016,Finance (including NBFCs)
540694,ANG,ANG Lifesciences India Ltd,Active,M,10.00,INE236W01016,Healthcare Services
541006,ANGEL,Angel Fibers Ltd,Active,M,10.00,INE339Z01011,Textiles
542865,ANUROOP,Anuroop Packaging Ltd,Active,M,10.00,INE490Z01012,Containers & Packaging
539403,ARAMBHAN,Arambhan Hospitality Services Ltd,Active,M,10.00,INE800S01017,Restaurants
541401,ARIHANTINS,Arihant Institute Ltd,S,MT,10.00,INE997Z01016,Education
